name,detail_link,dati_anagrafici,gruppo,gruppi,legislatura
CALDERA Carlo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9220,,,Gruppo Partito Socialista Italiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CAMINITI Filippo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9221,,,Gruppo Liberale : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CANALETTI GAUDENTI Alberto,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9222,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 31 dicembre 1948 Componente del Comitato Direttivo dal 1 gennaio 1949 al 31 dicembre 1951 Membro dal 1 gennaio 1952 al 24 giugno 1953,1
CANEPA Giuseppe,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9223,,,Gruppo Unita' Socialista : Membro dall'8 maggio 1948 al 22 dicembre 1948,1
CANEVARI Emilio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9224,,,Gruppo Unita' Socialista : Membro dall'8 maggio 1948 al 24 giugno 1953 (dal 13 febbraio 1952 il Gruppo assume la denominazione Partito Socialista Democratico Italiano),1
CANONICA Pietro,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9225,,,Gruppo Misto : Membro dal 1 dicembre 1950 al 24 giugno 1953,1
CAPORALI Raffaele,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9226,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CAPPA Paolo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9227,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CAPPELLINI Egisto,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9228,,,Gruppo Comunista : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CARBONARI Luigi,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=7152,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CARBONI Enrico,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=6623,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CARELLI Mario,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=6624,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CARISTIA Carmelo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9229,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CARMAGNOLA Luigi,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9230,,,Gruppo Unita' Socialista : Membro dall'8 maggio 1948 al 31 dicembre 1949; Gruppo Misto : Membro dal 1 gennaio 1950 al 18 giugno 1951; Gruppo PSI (Sezione Italiana dell'Internaz. Socialista) : Membro dal 19 giugno 1951 al 24 giugno 1953 (dal 13 febbraio 1952 il Gruppo assume la denominazione Partito Socialista Democratico Italiano),1
CARON Giuseppe,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=6627,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CARRARA Giovanni,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9231,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CASADEI Giuseppe,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=6632,,,Gruppo Partito Socialista Italiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CASARDI Ferdinando,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9232,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CASATI Alessandro,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9233,,,Gruppo Liberale : Presidente dall'8 maggio 1948 al 24 giugno 1953,1
CASO Giovanni,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9234,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CASSITTA Antonio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9235,,,Gruppo Comunista : Membro dal 1 luglio 1952 al 24 giugno 1953,1
CASTAGNO Luigi,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9236,,,Gruppo Partito Socialista Italiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CASTELNUOVO Guido,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9237,,,Gruppo Misto : Membro dal 5 dicembre 1949 al 27 aprile 1952,1
CAVALLERA Giuseppe,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9238,,,Gruppo Partito Socialista Italiano : Membro dall'8 maggio 1948 al 22 giugno 1952,1
CEMMI Angelo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=7132,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CERICA Angelo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9239,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CERMENATI Giacomo Attilio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9240,,,Gruppo Democratico di Sinistra : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CERMIGNANI Armando,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9241,,,Gruppo Partito Socialista Italiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CERRUTI Carlo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9242,,,Gruppo Comunista : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CERULLI IRELLI Giuseppe,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=6647,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CESCHI Stanislao,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=7163,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 31 dicembre 1948 Componente del Comitato Direttivo dal 1 gennaio 1949 al 24 giugno 1953,1
CIAMPITTI Giovanni,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=7240,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CIASCA Raffaele,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9243,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CICCOLUNGO Nicola,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9244,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 28 ottobre 1952,1
CINGOLANI Mario,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9245,,,Gruppo Democratico Cristiano : Presidente dall'8 maggio 1948 al 24 giugno 1953,1
COFFARI Iginio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9246,,,Gruppo Misto : Membro dall'8 maggio 1948 al 24 giugno 1953,1
COLLA Luigi,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9247,,,Gruppo Comunista : Membro dal 5 febbraio 1952 al 24 giugno 1953,1
COLOMBI Arturo Raffaello,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=7219,,,Gruppo Comunista : Componente del Comitato Direttivo dall'8 maggio 1948 al 24 giugno 1953,1
CONCI Enrico,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9248,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CONTI Giovanni,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9249,,,Gruppo Repubblicano : Presidente dall'8 maggio 1948 al 7 febbraio 1950; Gruppo Misto : Membro dall'8 febbraio 1950 al 24 giugno 1953,1
CORBELLINI Guido,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9250,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
CORNAGGIA MEDICI Giovanni Maria,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9251,,,Gruppo Democratico Cristiano : Membro dal 7 marzo 1952 al 24 giugno 1953,1
